state,total_cases,cases_last_7days,cases_per_100k,cases_per_100k_last_7days,total_deaths,deaths_last_7days,deaths_per_100k,deaths_per_100k_last_7days,num_tests,percent_positives,tests_per_100k,white_percent_cases,white_percent_pop...14,black_percent_cases,black_percent_pop...16,hispanic_percent_cases,hispanic_percent_pop...18,other_percent_cases,other_percent_pop...20,white_percent_deaths,white_percent_pop...22,black_percent_deaths,black_percent_pop...24,hispanic_percent_deaths,hispanic_percent_pop...26,other_percent_deaths,other_percent_pop...28,state_emergency,close_nonessential_business,reopen_business_statewide,shelter_in_place,end_shelter_in_place,length_shelter_in_place,mandate_facemask,no_enforcement_facemask,mandate_facemask_employee,end_statewide_mandate_facemask,governor,political_party_governor,pop_density_sq_mi,population_2018,nonelderly_preexisting_cond,percent_risk_serious,all_deaths_2018,num_homeless_2019,percent_state_medicaid_expend,life_expectancy,percent_unemployed_2018,percent_povertyline_2018,weekly_max_ui_w_stimulus,median_annual_household_income,children_0_18,adults_19_25,adults_26_34,adults_35_54,adults_55_64,adults_65+,retail_recreation,grocery_pharmacy,parks,transit_stations,workplaces,residential,state_abre,reopen_state_bus,reopen_restaurants,length_restaurants,reopen_outdoor_dining_only,reopen_gyms,length_gym,reopen_movie_theaters,reopen_hair_salons,reopen_religious,length_religious,reopen_non-essential_retail,reopen_bars,length_bars,reopen_childcare
Michigan,190043,19967,1903,28.6,7653,189,76,0.3,5025120,0-5%,50271,0.63,0.78,0.2,0.14000000000000001,0.1,0.05,0.14000000000000001,0.04,0.56999999999999995,0.78,0.37,0.14000000000000001,0.03,0.05,0.04,0.04,2020-03-10T00:00:00Z,2020-03-24,1950-05-25,2020-03-24,2020-06-01,69,2020-04-27,0,2020-04-26,1899-12-30,Gretchen Whitmer (D),Democratic,103.36,9995915,1753140,41.2,98903,8575,0.3,78.2,5.3,14.1,962,68388,0.23,0.09,0.12,0.25,0.14,0.17,-18,-12,46,-22,-29,10,MI,2020-05-26,2020-06-08,116,0,2020-09-09,23,2020-10-09,2020-06-15,1899-12-30,0,2020-06-04,2020-06-08,116,2020-06-08
Minnesota,142311,14159,2536,36.1,2472,118,44,0.3,3302947,6-10%,58863,0.6,0.8,0.16,0.06,0.15,0.05,0.03,0.03,0.79,0.8,0.09,0.06,0.04,0.05,<.01,0.03,2020-03-13T00:00:00Z,2020-03-28,1950-04-26,2020-03-28,2020-05-18,51,2020-07-24,0,2020-06-01,1899-12-30,Tim Walz (D),Democratic,64.54,5611179,790235,33.9,44745,7977,0.32,81,3.4,9.6,1340,43529,0.24,0.08,0.13,0.25,0.14,0.16,-16,-9,-4,-41,-32,13,MN,2020-04-27,2020-06-01,123,1,2020-06-10,114,2020-06-10,2020-06-01,2020-05-18,137,2020-05-18,2020-06-10,114,1899-12-30
Mississippi,119336,5460,3996,26.1,3328,90,111,0.4,697701,11-20%,23361,0.45,0.57,0.44,0.38,0.03,0.03,0.06,0.01,0.48,0.57,0.47,0.38,0.01,0.03,0.01,0.01,2020-03-14T00:00:00Z,2020-04-03,1950-04-26,2020-04-03,2020-04-27,24,2020-08-05,1,2020-05-07,1899-12-30,Tate Reeves (R),Republican,61.66,2986530,593046,42.5,32301,1184,0.26,74.900000000000006,7.1,19.7,835,53578,0.26,0.09,0.11,0.25,0.13,0.16,-13,-11,6,1,-19,4,MS,2020-04-27,2020-05-07,148,0,2020-05-11,144,2020-06-01,2020-05-11,1899-12-30,0,2020-04-27,2020-06-01,123,1899-12-30
Missouri,177693,14970,2900,34.9,2899,242,47,0.6,1401493,6-10%,22876,0.77,0.82,0.18,0.11,0.09,0.04,0.04,0.04,0.72,0.82,0.25,0.11,0.04,0.04,0.02,0.04,2020-03-13T00:00:00Z,2020-04-03,1950-05-03,2020-04-06,2020-05-04,28,1899-12-30,0,1899-12-30,1899-12-30,Mike Parson (R),Republican,87.89,6126452,1078933,40.5,63117,6179,0.39,77.599999999999994,4.2,13.2,920,53386,0.24,0.09,0.12,0.25,0.14,0.17,-5,-6,37,-10,-17,7,MO,2020-05-04,2020-05-04,151,0,2020-05-04,151,1899-12-30,2020-05-04,2020-05-27,128,2020-05-04,2020-05-04,151,1899-12-30
Montana,30853,4533,2904,61,337,55,31,0.7,461186,6-10%,43413,0.72,0.89,7.0000000000000001E-3,<.01,0.04,0.04,0.05,0.04,0.61,0.89,NR,7.0000000000000001E-3,NR,0.04,NR,0.04,2020-03-12T00:00:00Z,2020-03-28,1950-04-26,2020-03-28,2020-04-26,29,1899-12-30,0,2020-07-15,1899-12-30,Steve Bullock (D),Democratic,7.22,1062305,151538,39,9992,1357,0.26,78.599999999999994,3.5,13,1152,59970,0.23,0.08,0.11,0.24,0.15,0.19,-13,4,5,-3,-21,9,MT,2020-04-27,2020-05-04,151,0,2020-05-15,140,2020-05-15,2020-04-27,2020-04-26,159,2020-04-27,2020-05-04,151,1899-12-30
Nebraska,68150,6865,3532,50.8,637,50,33,0.4,869485,11-20%,45068,0.84,0.86,0.06,0.04,0.31,0.11,0.05,0.06,0.84,0.86,7.0000000000000007E-2,0.04,0.21,0.11,0.03,0.06,2020-03-13T00:00:00Z,2020-04-09,1950-05-31,1899-12-30,1899-12-30,0,1899-12-30,0,2020-05-04,1899-12-30,Pete Ricketts (R),Republican,24.94,1929268,294912,36.6,16904,2365,0.18,79.599999999999994,3.5,11,1040,58003,0.26,0.09,0.12,0.25,0.13,0.16,-7,2,18,-1,-24,7,NE,2020-06-01,2020-06-01,123,0,1899-12-30,0,2020-06-22,2020-06-01,2020-05-04,151,1899-12-30,2020-06-22,102,1899-12-30
Nevada,98554,5701,3248,26.8,1769,33,58,0.2,1309445,6-10%,43153,0.3,0.49,0.08,0.09,0.44,0.29,0.1,0.04,0.5,0.49,0.12,0.09,0.24,0.29,<.01,0.04,2020-03-12T00:00:00Z,2020-03-21,1950-05-08,2020-03-31,2020-05-09,39,2020-06-26,0,2020-05-09,1899-12-30,Steve Sisolak (D),Democratic,27.44,3034392,487394,36.1,24715,7169,0.26,78.400000000000006,5.6,12.9,1069,73381,0.24,0.08,0.13,0.27,0.13,0.16,-15,-7,-11,-29,-31,9,NV,2020-05-09,2020-05-09,146,0,2020-05-29,126,2020-05-29,2020-05-09,2020-05-29,126,2020-05-09,2020-05-29,126,1899-12-30
New Hampshire,10768,774,794,8.2,482,12,35,0.1,477093,0-5%,35171,0.76,0.9,0.05,0.01,0.13,0.04,0.03,0.02,0.94,0.9,0.02,0.01,0.03,0.04,<.01,0.02,2020-03-13T00:00:00Z,2020-03-28,1950-05-10,2020-03-28,2020-06-16,80,1899-12-30,0,2020-05-01,1899-12-30,Chris Sununu (R),Republican,145.09,1356458,233412,40.5,12774,1396,0.36,80.099999999999994,3.6,7.6,1027,80088,0.2,0.08,0.11,0.26,0.16,0.18,-9,1,72,-23,-23,9,NH,2020-05-11,2020-05-18,137,0,2020-06-01,123,2020-06-29,2020-05-11,2020-05-29,126,2020-05-11,2020-06-15,109,1899-12-30
New Jersey,234547,10162,2633,16.3,16332,69,183,0.1,4038271,0-5%,45330,0.39,0.55,0.15,0.13,0.28999999999999998,0.21,0.12,0.02,0.54,0.55,0.18,0.13,0.2,0.21,0.02,0.02,2020-03-09T00:00:00Z,2020-03-21,1950-05-17,2020-03-21,2020-06-09,0,2020-04-08,0,2020-04-08,1899-12-30,Phil Murphy (D),Democratic,1021.27,8908520,1359142,34.6,75765,8862,0.24,80.5,4.9,9.5,1313,46744,0.23,0.08,0.11,0.27,0.14,0.16,-18,-3,53,-36,-34,11,NJ,2020-05-18,2020-06-15,109,1,2020-09-01,31,2020-09-04,2020-06-22,2020-06-09,115,2020-06-15,2020-06-15,109,2020-06-15
North Carolina,269021,16029,2591,22.1,4283,201,41,0.3,3798225,6-10%,36579,0.59,0.68,0.23,0.21,0.31,0.1,0.14000000000000001,0.06,0.61,0.68,0.3,0.21,0.09,0.1,0.06,0.06,2020-03-10T00:00:00Z,2020-03-30,1950-05-07,2020-03-30,2020-05-22,53,2020-06-26,0,2020-06-26,1899-12-30,Roy Cooper (D),Democratic,192.94,10383620,1762344,39,93885,9314,0.28000000000000003,78.099999999999994,5,14,950,61843,0.24,0.08,0.12,0.26,0.13,0.16,-11,-2,73,-20,-28,6,NC,2020-05-08,2020-05-22,133,0,2020-09-04,28,1899-12-30,2020-05-22,2020-05-16,139,2020-05-08,1899-12-30,0,1899-12-30
Ohio,208937,18507,1787,22.6,5275,114,45,0.1,4301275,0-5%,36796,0.67,0.81,0.2,0.12,7.0000000000000007E-2,0.04,0.11,0.04,0.79,0.81,0.18,0.12,0.02,0.04,0.02,0.04,2020-03-09T00:00:00Z,2020-03-24,1950-05-03,2020-03-24,2020-05-20,57,2020-07-23,1,2020-04-29,1899-12-30,Mike DeWine (R),Republican,260.77,11689442,1982557,39.8,124264,10345,0.38,77.599999999999994,4.9,13.9,1247,50051,0.23,0.09,0.12,0.25,0.14,0.17,-14,-8,113,-8,-25,7,OH,2020-05-04,2020-05-15,140,1,2020-05-22,133,2020-06-10,2020-05-15,1899-12-30,0,2020-05-12,2020-05-15,140,2020-05-31
Oklahoma,126618,7777,3211,28.2,1313,85,33,0.3,757324,6-10%,19206,0.71,0.72,0.08,7.0000000000000007E-2,0.2,0.11,0.05,0.11,0.78,0.72,7.0000000000000007E-2,7.0000000000000007E-2,7.0000000000000007E-2,0.11,0.03,0.11,2020-03-15T00:00:00Z,2020-04-01,1950-04-23,1899-12-30,2020-05-15,0,1899-12-30,0,1899-12-30,1899-12-30,Kevin Stitt (R),Republican,56.41,3943079,718321,40.8,40933,3944,0.24,75.8,4.4,15.6,1139,60212,0.26,0.09,0.13,0.24,0.13,0.16,-12,-6,-3,-5,-22,7,OK,2020-04-24,2020-05-01,154,0,2020-05-01,154,2020-05-01,2020-04-24,2020-05-01,154,2020-04-24,2020-05-15,140,1899-12-30
Oregon,43793,2983,1045,10.2,673,27,16,0.1,1602131,0-5%,38230,0.49,0.84,0.04,0.02,0.42,0.13,0.39,0.08,0.76,0.84,0.02,0.02,0.16,0.13,0.15,0.08,2020-03-08T00:00:00Z,2020-03-23,1950-05-14,2020-03-23,2020-06-19,88,2020-07-01,1,2020-05-09,1899-12-30,Kate Brown (D),Democratic,42.6,4190713,701302,39.8,36187,15876,0.22,79.599999999999994,5,12.6,1248,59195,0.22,0.08,0.13,0.26,0.13,0.18,-18,-6,18,-29,-32,10,OR,2020-05-15,2020-06-19,105,0,2020-06-19,105,1899-12-30,2020-06-19,2020-05-15,140,2020-05-15,2020-06-19,105,2020-05-16
Pennsylvania,202876,14516,1584,16.2,8762,170,68,0.2,4303262,6-10%,33600,0.73,0.8,0.22,0.11,0.23,0.08,0.02,0.05,0.73,0.8,0.2,0.11,0.06,0.08,0.05,0.05,2020-03-06T00:00:00Z,2020-03-21,1950-06-04,2020-04-01,2020-06-05,65,2020-07-01,0,2020-04-19,1899-12-30,Tom Wolf (D),Democratic,278.09,12807060,2104594,39.8,134702,13199,0.36,78.599999999999994,4.9,12.2,1172,63870,0.22,0.08,0.12,0.25,0.14,0.18,-16,-5,74,-28,-29,8,PA,2020-06-05,2020-06-05,119,1,2020-07-03,91,2020-07-03,2020-07-03,1899-12-30,0,2020-06-05,2020-06-05,119,2020-06-05
Rhode Island,32312,2718,3056,36.7,1195,22,113,0.3,961652,0-5%,90952,0.4,0.72,0.12,0.06,0.43,0.16,0.02,0.03,0.81,0.72,0.06,0.06,0.11,0.16,0,0.03,2020-03-09T00:00:00Z,2020-03-30,1950-05-08,2020-03-28,2020-05-09,42,2020-04-18,1,2020-04-18,1899-12-30,Gina Raimondo (D),Democratic,684.35,1057315,175158,38.3,10083,1055,0.28999999999999998,79.900000000000006,5.5,12.9,1332,50570,0.2,0.09,0.13,0.26,0.15,0.17,-15,-8,120,-43,-28,9,RI,2020-05-09,2020-05-18,137,1,2020-06-01,123,2020-06-30,2020-06-01,2020-05-30,125,2020-05-09,2020-06-01,123,2020-06-01
South Carolina,174591,7106,3434,20,3889,134,76,0.4,1588805,11-20%,31250,0.55000000000000004,0.67,0.34,0.26,0.12,0.06,0.1,0.04,0.56999999999999995,0.67,0.4,0.26,0.04,0.06,0.03,0.04,2020-03-13T00:00:00Z,2020-04-01,1950-04-19,2020-04-07,2020-05-04,27,1899-12-30,0,2020-08-03,1899-12-30,Henry McCaster (R),Republican,158.78,5084127,914122,41.4,50640,4172,0.26,77,5.3,15.3,926,56521,0.23,0.09,0.11,0.25,0.14,0.18,-8,-3,31,-1,-23,4,SC,2020-04-20,2020-05-04,151,1,2020-05-18,137,2020-08-03,2020-05-18,1899-12-30,0,2020-04-20,2020-05-04,151,1899-12-30
South Dakota,43000,6983,4874,113.1,403,56,45,0.9,308355,6-10%,34951,0.72,0.82,0.04,0.02,0.05,0.04,0.03,0.02,0.75,0.82,0.01,0.02,0.02,0.04,0.01,0.02,2020-03-13T00:00:00Z,1899-12-30,1829-12-28,1899-12-30,1899-12-30,0,1899-12-30,0,1899-12-30,1899-12-30,Kristi Noem (R),Republican,11.44,882235,122847,35.3,7971,995,0.2,79.400000000000006,3,13.1,1014,51340,0.26,0.09,0.11,0.24,0.14,0.16,-4,12,31,3,-16,8,SD,1899-12-30,1899-12-30,0,0,1899-12-30,0,1899-12-30,1899-12-30,1899-12-30,0,1899-12-30,1899-12-30,0,1899-12-30
Tennessee,256880,18973,3794,40,3263,252,48,0.5,3423475,6-10%,50568,0.66,0.78,0.2,0.17,0.14000000000000001,0.05,0.13,0.04,0.7,0.78,0.25,0.17,0.05,0.05,0.04,0.04,2020-03-12T00:00:00Z,2020-04-01,1950-04-26,2020-04-02,2020-04-29,29,1899-12-30,0,1899-12-30,1899-12-30,Bill Lee (R),Republican,160.64,6770010,1301530,41.6,71078,7467,0.33,76.3,5.5,15.3,875,59206,0.24,0.09,0.12,0.26,0.13,0.16,-10,-5,64,-9,-24,5,TN,2020-04-27,2020-04-27,158,0,2020-05-01,154,2020-05-22,2020-05-06,1899-12-30,0,2020-04-27,2020-05-22,133,1899-12-30
Texas,886820,41720,3090,20.8,17819,533,62,0.3,8980199,11-20%,31287,0.34,0.41,0.19,0.12,0.45,0.4,0.02,0.02,0.31,0.41,0.11,0.12,0.56000000000000005,0.4,<.01,0.02,2020-03-13T00:00:00Z,2020-04-02,1950-04-30,1899-12-30,2020-05-01,0,2020-07-03,0,2020-05-08,1899-12-30,Greg Abbott (R),Republican,106.86,28701845,4793961,34.8,202211,25848,0.28999999999999998,78.8,4.9,14.9,1121,68358,0.27,0.09,0.13,0.26,0.11,0.13,-17,-9,-15,-24,-30,9,TX,2020-05-01,2020-05-01,154,0,2020-05-18,137,2020-05-01,2020-05-08,1899-12-30,0,2020-05-01,2020-05-29,126,1899-12-30
Utah,110640,11091,3500,50.1,598,35,18,0.2,1733147,6-10%,54827,0.59,0.78,0.02,0.01,0.32,0.14,0.11,0.03,0.59,0.78,0.01,0.01,0.22,0.14,0.08,0.03,2020-03-06T00:00:00Z,2020-03-27,1950-04-30,1899-12-30,1899-12-30,0,2020-04-10,1,2020-04-10,2020-05-01,Gary R. Herbert (R),Republican,37.23,3161105,437646,30,18354,2798,0.19,79.8,3.2,9,1180,57513,0.31,0.11,0.13,0.24,0.1,0.11,-12,1,60,-23,-30,8,UT,2020-05-01,1899-12-30,0,0,1899-12-30,0,1899-12-30,2020-05-01,2020-05-06,149,1899-12-30,2020-05-01,154,1899-12-30
Vermont,2155,168,344,3.8,58,0,9,0,416221,0-5%,66457,0.84,0.94,0.1,0.01,0.04,0.02,0.02,0.02,0.95,0.94,NR,0.01,0,0.02,0.02,0.02,2020-03-13T00:00:00Z,2020-03-25,1950-04-26,2020-03-24,2020-05-15,51,2020-08-01,1,2020-04-17,1899-12-30,Phil Scott (R),Republican,65.13,626299,92385,39.1,6027,1089,0.28000000000000003,80,3.8,11,1113,71535,0.19,0.08,0.11,0.25,0.16,0.2,-13,-5,63,-32,-24,8,VT,2020-04-27,2020-05-22,133,1,2020-06-01,123,2020-06-01,2020-05-29,2020-05-23,132,2020-04-27,2020-05-22,133,2020-06-01
Virginia,179639,8355,2109,14,3643,104,42,0.2,2744818,11-20%,32224,0.4,0.62,0.25,0.19,0.28000000000000003,0.1,0.04,0.04,0.56999999999999995,0.62,0.28000000000000003,0.19,0.09,0.1,0.02,0.04,2020-03-12T00:00:00Z,2020-03-25,1950-05-28,2020-03-30,2020-05-29,60,2020-05-29,0,2020-05-29,1899-12-30,Ralph Northam (D),Democratic,199.13,8517685,1348892,35.9,69359,5783,0.19,79.400000000000006,4.2,10.7,978,70979,0.24,0.09,0.12,0.26,0.13,0.16,-14,-5,68,-28,-33,9,VA,2020-05-29,2020-05-29,126,1,2020-06-12,112,2020-07-01,2020-05-29,2020-05-29,126,2020-05-29,2020-05-29,126,1899-12-30
Washington,105557,5032,1401,9.5,2359,70,31,0.1,1926135,0-5%,25560,0.42,0.68,0.06,0.04,0.39,0.13,0.04,0.05,0.68,0.68,0.03,0.04,0.14000000000000001,0.13,0.03,0.05,2020-02-29T00:00:00Z,2020-03-25,1950-05-31,2020-03-23,2020-06-01,70,2020-06-26,0,2020-05-04,1899-12-30,Jay Inslee (D),Democratic,105.69,7535591,1153522,35.1,56877,21577,0.27,80.3,4.3,10.3,1390,43469,0.23,0.08,0.14,0.26,0.13,0.16,-22,-10,-1,-44,-38,12,WA,2020-06-01,2020-07-03,91,0,2020-08-27,36,1899-12-30,2020-07-03,2020-06-01,123,2020-07-03,2020-07-03,91,1899-12-30
Wisconsin,226705,30882,3900,75.9,2003,278,34,0.7,3458121,6-10%,59483,0.8,0.85,0.08,0.06,0.16,0.07,7.0000000000000007E-2,0.05,0.8,0.85,0.14000000000000001,0.06,0.1,0.07,0.02,0.05,2020-03-12T00:00:00Z,2020-03-25,1950-05-10,2020-03-25,2020-05-13,49,2020-08-01,0,2020-08-01,1899-12-30,Tony Evers (D),Democratic,88.76,5813568,883433,36.5,53684,4538,0.2,N/A,3.2,11,970,60434,0.23,0.09,0.11,0.26,0.14,0.17,-18,-6,24,-21,-27,12,WI,2020-05-11,2020-05-13,142,0,2020-05-13,142,2020-05-13,2020-05-13,2020-05-13,142,2020-05-11,2020-05-13,142,1899-12-30
Wyoming,12507,2388,2165,59.1,87,19,15,0.5,269265,0-5%,46606,0.71,0.84,0.01,<.01,0.13,0.1,0.05,0.02,0.67,0.84,0.02,<.01,0.04,0.1,0,0.02,2020-03-13T00:00:00Z,2020-03-19,1950-04-30,1899-12-30,1899-12-30,0,1899-12-30,0,2020-05-01,1899-12-30,Mark Gordon (R),Republican,5.91,577737,85810,36.4,5070,548,0.14000000000000001,78.8,3.9,11.1,1108,NA,0.24,0.08,0.12,0.24,0.14,0.17,-14,1,26,21,-15,6,WY,2020-05-01,2020-05-15,140,0,2020-05-01,154,2020-05-15,2020-05-01,2020-05-15,140,1899-12-30,2020-05-15,140,2020-05-01
